id;exp_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;VOUCHER;65725;2020-09-02;copy niches Bacon;2020-09-01T18:32:44;Qatari Rial secured line;2020-09-02T00:44:10;index Producer
2;INVOICE;27727;2020-09-01;encryption Bedfordshire;2020-09-01T10:19:24;Handmade Plastic Chicken;2020-09-01T09:43:10;matrix architectures
3;INVOICE;95338;2020-09-01;synergize;2020-09-01T08:50:51;unleash Sausages;2020-09-01T12:59:51;Distributed Wyoming
4;INVOICE;29772;2020-09-01;Croatian Kuna Ergonomic;2020-09-02T04:35:27;transmit;2020-09-01T13:42:07;mint green Alabama
5;INVOICE;61122;2020-09-01;relationships;2020-09-01T06:14:26;Mills;2020-09-01T07:48:00;Checking Account
6;RECIEPT;67246;2020-09-01;hack COM Architect;2020-09-01T20:43:21;Credit Card Account;2020-09-01T14:40:41;evolve
7;RECIEPT;42753;2020-09-01;redundant HTTP;2020-09-01T19:29:56;deliverables Electronics Investment Account;2020-09-01T08:34:16;Lempira portal
8;INVOICE;81656;2020-09-02;Ergonomic;2020-09-02T02:18:32;Associate Guinea Franc Metical;2020-09-01T21:26:20;Configuration initiatives
9;RECIEPT;11290;2020-09-01;Ethiopian Birr COM;2020-09-02T05:05:16;synthesize;2020-09-01T14:53:29;Generic
10;RECIEPT;39658;2020-09-01;generate Georgia;2020-09-02T04:40:34;Producer;2020-09-01T18:19:30;Technician grid-enabled
