id;rev_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;SEHAJ_PATH_BHETA;30367;2020-09-02;Generic;2020-09-01T14:38:04;Checking Account Lebanese Pound;2020-09-01T20:05:20;Libyan Arab Jamahiriya connect Legacy
2;SEHAJ_PATH_BHETA;25117;2020-09-01;Tools;2020-09-01T05:32:10;Central Avon Refined Plastic Soap;2020-09-02T03:32:01;deploy orchestrate
3;GOLAK;75501;2020-09-01;Refined Wooden Car turquoise Fiji;2020-09-01T19:17:30;infrastructure Clothing Accounts;2020-09-01T07:54:34;deposit Buckinghamshire cross-platform
4;GOLAK;296;2020-09-02;Phased;2020-09-01T20:08:12;Investment Account monetize Pass;2020-09-01T14:29:37;system online
5;SEHAJ_PATH_BHETA;88292;2020-09-02;interactive Borders;2020-09-01T07:38:50;solution Ohio Shoes;2020-09-01T09:38:38;Sleek Cotton Gloves
6;SEHAJ_PATH_BHETA;48837;2020-09-01;paradigms Kiribati;2020-09-01T08:50:34;hacking Assimilated;2020-09-01T19:09:53;bypass process improvement
7;PROGRAM;90996;2020-09-01;Arkansas;2020-09-01T17:38:17;Steel;2020-09-01T07:14:03;Programmable
8;SEHAJ_PATH_BHETA;20337;2020-09-01;Seamless well-modulated;2020-09-02T03:28:17;Electronics Maryland;2020-09-02T00:45:19;Games Corporate
9;SEHAJ_PATH_BHETA;74776;2020-09-01;Sweden strategy superstructure;2020-09-01T08:13:38;Licensed matrix;2020-09-01T05:56:03;disintermediate Crossing data-warehouse
10;SEHAJ_PATH_BHETA;95697;2020-09-01;invoice deposit Knoll;2020-09-02T03:02:38;Steel Supervisor;2020-09-01T07:31:49;Mission
