id;name;jhi_desc;total_roul;created_date;created_by;last_modified_date;last_modified_by
1;context-sensitive New York lime;Metal;quantifying Iowa;2020-09-02T03:23:46;purple Computer Pants;2020-09-01T05:47:34;yellow JSON
2;Refined Rubber Salad;installation user-centric microchip;Sausages orchid Buckinghamshire;2020-09-01T14:21:49;navigate enable Montana;2020-09-01T06:35:22;Upgradable
3;lime Developer Brand;PNG Kroon;Hawaii UIC-Franc;2020-09-01T07:44:30;Turkmenistan;2020-09-01T22:06:40;SDR
4;Movies;PCI Hat;Berkshire Accountability orchestration;2020-09-01T14:46:50;bluetooth;2020-09-01T10:34:45;Specialist
5;Executive Soft;Wyoming;leading-edge Delaware compress;2020-09-01T08:06:57;functionalities Credit Card Account Clothing;2020-09-01T05:43:14;optical Up-sized
6;Grove;mesh virtual;Tasty Games;2020-09-01T05:50:35;Paradigm;2020-09-02T01:07:20;installation
7;users Panama;paradigms syndicate;Paradigm;2020-09-01T21:56:18;connect;2020-09-01T09:57:43;mindshare well-modulated
8;application Small Granite Pants bluetooth;Dynamic PNG Plastic;XML;2020-09-01T15:03:46;static Metal;2020-09-02T00:39:55;hierarchy synthesizing
9;Nevada;Springs heuristic;Senior;2020-09-01T22:46:46;Steel transmitter synergize;2020-09-01T16:09:34;generate protocol
10;Keyboard Toys Bacon;Mobility;Money Market Account maroon;2020-09-01T06:28:08;adapter;2020-09-01T16:49:17;Grocery Mouse
